"full_text","reply_count","favorited"
"भारत जोड़ो यात्रा के दौरान एलन स्टूडेंटस के बीच पहुंचे @RahulGandhi ... जोड़ो जोड़ो भारत जोड़ो के नारे लगवाए। स्टूडेंट्स से बोले You are the future of this country, Love you ALL... इस अवसर पर एलन के निदेशक नवीन माहेश्वरी मौजूद रहे। #BharatJodoYatra #भारतजोडोयात्रा 
@bharatjodo https://t.co/CmsyLNX8gN","61","false"
"Sri Sri ji at #UTSAHKota ,“I can see Future of India in #KotaCity” Praised @SmartCityKota #Kotacoaching #ArtofLiving @VasundharaBJP @SriSri https://t.co/TuX5r43rxx","63","false"
"📷 The King of JEE Advanced 2024 has arrived - Ved Lahoti!

📷 ALLENite Ved shatters records with 355/360 in IIT JEE 2024! (Highest Score Ever 98.61%)

#IITAIR1byALLENKota #AIR1 #JEEAdvancedAIR1 #JEEAIR1 #JEEResult #JEEAdvanced2024 https://t.co/NtcS0v34C7","85","false"
"#NEET_Breaking
NEET UG 2021 Exam Date announced by Education Minister @dpradhanbjp, to be held on 12th September 2021.

#NEETUG2021 #NEET","30","false"
"The Pushpa Fever has caught us too!!

#TopicalSpot #Pushpa #pushparaj #StudentLife #AlluArjun #Sukumar
 
@alluarjun @iamRashmika @Samanthaprabhu2 @PushpaMovie @MythriOfficial https://t.co/FrEaXOir1T","7","false"
"#10kadum ALLEN's Success Saga Continues #AIIMS2017 All India Ranks 1 to 10 from @ALLENkota | #allenrocksaiims #allekota #kotacoaching https://t.co/G7YdfIVeEX","37","false"
"🎥 In this inspiring Topper Spotlight video, we trace the journey of Ved Lahoti, the IIT JEE Advanced 2024 topper, from his early childhood to achieving the highest score ever recorded.

#IITAIR1byALLENKota #AIR1 #JEEAdvancedAIR1 #JEEAIR1 #JEEResult #JEEAdvanced2024 https://t.co/dQWzB3NcUe","18","false"
"#ResultBreaking 🔥
Finally, #JEEAdvanced2022 result is announced.
JEE Advanced 2022 RESULT REACTION! How did #MahitGadhiwala react to his AIR 9 in JEE Advanced? Check his reaction to his IIT-JEE Result in this video

#JEEAdvancedResult #ResultReaction #TopperResult #ALLEN https://t.co/CjeYOiBECk","17","false"
"🎉 Mega Result Celebration: ALLENites scaled the NEET mountain with ALLEN ! 

💯 Watch students celebrate the NEET 2022 Result as brings teachers, toppers, and students together. ALLENite Tanishka scripts success with AIR 1 in NEET #ALLENTanishkaTopsNEET

https://t.co/a1JRUIyBIF https://t.co/6K2sDrMmGm","1","false"
"🏏 Happy Birthday to the man loved across the nation - @msdhoni! 

✨ If you had to pick just one favourite MS Dhoni win, what would that be? 

🌟 Read More to know about him: https://t.co/AxUSdTYZFT

#MSDhoniBirthday #ALLENKota #TopicalDay https://t.co/N6YwUdMaon","10","false"
