,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,@harshsoni7178,"2023-05-08 07:14:18",1,no,no,"Sir Neet Balo ki bhi banao",UCTkCOeSjO_L_CJyx1Fj0tPw,Ugzc-bL2Jv6uKui5kip4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugzc-bL2Jv6uKui5kip4AaABAg
2,,@AbhiRaj-gc2hf,"2023-05-08 07:32:41",2,no,no,"Hostel ke bare me jayada information dedijiye",UCRkTnGTDTHcKFF3Em-oMnhA,UgxmVcfzXeD-HF-iMlR4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxmVcfzXeD-HF-iMlR4AaABAg
3,,@nikhilmishra2039,"2023-05-08 09:30:25",2,no,no,"Charo  taraf hariyali hai 😂 so true",UCL87n_ETGL4DnG_2Xb48AoA,UgyvY-DCwKP4dx7gd8h4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgyvY-DCwKP4dx7gd8h4AaABAg
4,,@parmeetsethi2223,"2023-05-08 09:36:17",76,no,no,"Dhruv Campus bi acha hai bhiya....meri sister ko join krwaya hai....residential services mai best lga bhiya hmko .....",UCIB0lOi6Jj_DJpfAhUL0EUg,UgziACvkycNVW43TJah4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgziACvkycNVW43TJah4AaABAg
5,,@DevRaj-wi7gr,"2023-05-08 11:52:08",1,no,no,"Fee for coaching as well as accomodation.",UCvncIN7p3WDgrQgayP-t1Hg,UgwgoAKiJf7l12baYnp4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwgoAKiJf7l12baYnp4AaABAg
6,,@Sizzmedico,"2023-05-08 19:14:53",0,no,no,Ohk,UC7WFxoJwOLbdcGs2YAduHFQ,UgwY8BJyOgqaTSH31VV4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwY8BJyOgqaTSH31VV4AaABAg
7,,@Sizzmedico,"2023-05-08 19:16:07",0,no,no,"Wow amazing❤❤💯💯",UC7WFxoJwOLbdcGs2YAduHFQ,UgztyduuhZV8em_ZRgB4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgztyduuhZV8em_ZRgB4AaABAg
8,,@prafullsingh2668,"2023-05-09 04:47:56",1,no,no,"ok bhiya",UCi_wbDQhBOn8ISJu0WXrESQ,UgzLmsNXZBNgQ4gOBM14AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgzLmsNXZBNgQ4gOBM14AaABAg
9,,@shobhitgahlot3347,"2023-05-09 05:47:43",0,no,no,Super,UCg5-RXFCXtrHUfWN7nHYThg,Ugw1Ya5ZZTzpXDD-fkl4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugw1Ya5ZZTzpXDD-fkl4AaABAg
10,,@ashokmee8613,"2023-05-09 06:17:17",0,no,no,"Sid bhai pncf ke fees and four centers kon kon se h kota me pncf ke",UCn8Hfle7f4CTgp2M0VU0ljg,UgytSM0_ThSx3aHjIcZ4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgytSM0_ThSx3aHjIcZ4AaABAg
11,,@Jaifromchina86,"2023-05-10 10:40:08",1,no,no,🤗🤗😘🙏,UCMdKoDKxgRH-c3EqUyN3TGg,Ugyc4Jxbfj1WxUGKt5d4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugyc4Jxbfj1WxUGKt5d4AaABAg
12,,@rakhipandey9512,"2023-05-11 08:43:09",19,no,no,"Definitely this is awesome place where we can send our child. 
Undoubtedly this campus is same as shown in video my son is in this campus. 
One suggestion I want to pin please make a small place in school where we the parents can stay for one night when we visit to see our children. 
If we get this facility it will be so helpful for us and will be very convinient to visit. 

Thanks to team for taking good care of our kids.",UC_j8CzJdPWbBtufLPG5YNLA,Ugz1DfVQAiSWy8yGy-x4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugz1DfVQAiSWy8yGy-x4AaABAg
13,,@epicchadguy7417,"2023-05-15 09:18:35",0,no,no,"This is some china level shit let them enjoy their lives. jEE and NEET is not everything. AND STOP DELETING COMMENTS",UCShCVghZg4rxissqaU1HC6w,Ugy_axplyrbEJg77gGd4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugy_axplyrbEJg77gGd4AaABAg
14,,@prashantchavan789,"2023-05-27 09:53:50",3,no,no,Thanks,UCIQSs0KHOA5eIMue1r3qPnQ,Ugz2VK5W9ZJT92EU11Z4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugz2VK5W9ZJT92EU11Z4AaABAg
15,,@omprakashsingh2264,"2023-05-31 14:18:52",4,no,no,"Fees Kitna Hai bhai",UCXzEdTqPMaBhtmg65skpm4g,UgyVEgr7lwvvzB2cRy94AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgyVEgr7lwvvzB2cRy94AaABAg
16,,@RaviShankar-iy6rt,"2023-06-04 03:03:42",2,no,no,"Sir please tell me anual fee for class 7th of pncf for hostel and academic",UCQxSJN4RqNDf0cV5T3FMPCw,Ugzn_4P0A82VcL_-O814AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugzn_4P0A82VcL_-O814AaABAg
17,,@anjanabhatt1896,"2023-06-04 05:43:23",2,no,no,"I am sitting on first bench middle row",UCbhVe71i-TE-SufrJu_4lQA,Ugyc51wtGpKytDxc2TR4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugyc51wtGpKytDxc2TR4AaABAg
18,,@Ranjanbxr772,"2023-06-08 10:32:38",6,no,no,"Monthly ya yearly fee क्या है।",UCGVVquHaYf0lDnODVg54ZMQ,Ugzt3TJAy4wQz6WsaAh4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugzt3TJAy4wQz6WsaAh4AaABAg
19,,@jayjeetkumar3440,"2023-06-12 12:51:13",4,no,no,"So good,but you have not explaine about fee of schooling &hostel? Without this how can we estimite our palin",UCKoCqwdrjxCBh7xbeMBqcZQ,UgzaJCQHDOVljzD_i_l4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgzaJCQHDOVljzD_i_l4AaABAg
20,,@physicsdada001,"2023-06-15 06:12:13",0,no,no,"Bhaiya iska location bhejo do",UC796pIuDPPuhDNEEV6bVBQA,UgxbdFgR3DSLNdwgIq14AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxbdFgR3DSLNdwgIq14AaABAg
21,,@navinkumersingh3037,"2023-06-16 03:07:26",4,no,no,"Sir 8th class me admission total fee Kitana hai",UCLe1a4EWsf0TY7eVR2SQzmg,Ugw_dKoYNccFa_4cfrx4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugw_dKoYNccFa_4cfrx4AaABAg
22,,@rohtasgarhfoundation9318,"2023-06-17 08:24:33",0,no,no,"Please send links and contact no.",UCAx9vkNwefC6bh747S3-2DQ,UgxH_qTfrqdfHaNs5EB4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxH_qTfrqdfHaNs5EB4AaABAg
23,,@ghanshyamyadav1984,"2023-06-18 18:42:50",0,no,no,"Fees and hostel ,mess total fees Kitna lagta hi",UCLg03LroxKqrcuvd9s9h3_w,UgxWbIHtQ0VKcFNrDrF4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxWbIHtQ0VKcFNrDrF4AaABAg
24,,@PramodKumar-uz6pz,"2023-06-20 05:58:28",0,no,no,"Sabhi campus ka video dalai...sir",UC7Q-ydFAKvO5AnJMPWENBSA,UgyyHrZ-kvSEvrMb_ZZ4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgyyHrZ-kvSEvrMb_ZZ4AaABAg
