"Author","Review Text","Review Rating","Date","Photos","Likes","Owner Answer","Owner Answer Date","Author Profile","Author Props","Author Image","Review URL"
"k Tembhare","My son studied in here only for 1 yr- 10 th boards in ( advance batch-2023-24) and I regret thousand times- why didn't I enroll him little early like in 8 th std? 😒Best institute in kharghar if you are in search of coaching and preparation for Olympiad competition as well as advance studies to prepare base for neet n jee. Their foundation course which completely focus on board syllabus is also very goodI also want to burst the myth that in institute likc Allen only toppers are taken care and adored. No! my son was average student and still he got equal attention by teachers. Infact in Allen kharghar there is no such atmosphere like toppers given priority and others are neglected. .Rather teachers teach wittout any partiality and children here eventually learn to to compete with their ownself and try better everytime. Ekta mam, Ajit sir and all teachers are  very dedicated.My son scored 97.5 percent in boards( credit goes to dps teachers) but Allen boosted lot of confidence in him to face Olympiad and other entrances. At  the same time this institute made my son down to earth and gave him the glimpse reality of competition.Before Allen he was always high on clouds with every tini tiny achievement. But after joing Allen he learned how to not get carried away with little success and understood the reality that there thousand more smart people  around every institute and hence everytime try to be  better than your previous score or performance. Every children and patent have different experience. Mine was very good and hence I suggest Allen kharghar is worth a try.  Polite caring teacher with humble staff. And good competitive but healthy atmosphere",4,"4 months ago",0,0,,,"https://www.google.com/maps/contrib/112648368887680309063?hl=en-GB&ved=1t:31293&ictx=111","Local Guide·22 reviews·12 photos","https://lh3.googleusercontent.com/a-/ALV-UjXgVU0dV5RA8DK4ff9QkT8iGTc4K3hTDNGTSes1pNmjixvE591U=s40-c-rp-mo-ba3-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"Sneha","Extremely disappointed with the unprofessional behavior of the staff, especially Munmun Sen, at Allen Kharghar. Not only did she fail to verify with her team before making false claims about providing books to my student, causing unnecessary distress with continuous calls while I was working. She also displayed a complete lack of accountability by refusing to accept her mistake. This level of disrespect and unprofessionalism is unacceptable.",1,"4 months ago",0,1,,,"https://www.google.com/maps/contrib/116170368130213889036?hl=en-GB&ved=1t:31293&ictx=111","1 review","https://lh3.googleusercontent.com/a/ACg8ocKIYyru5EBK_w38gCf1B5RCcyZ5nMJYEkFNCA9Fr-r0Dg9y2Q=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"Shrikant Karade","Worst classes in the Kharghar.if you want to spoil your child's career. You can take admission. I had very bad experiences with classes. My suggestion is that do not take an admission. especially maths Faculty ( 8th std).",1,"5 months ago",0,2,,,"https://www.google.com/maps/contrib/117954803659032294627?hl=en-GB&ved=1t:31293&ictx=111","2 reviews","https://lh3.googleusercontent.com/a/ACg8ocLnZu159g19AJ1grHIUIQkQ_om-JlqRvEtlhM3aM2S0PNp09g=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"VERSE DESTRUCT","Faculty is great and experienced and everything in managed according to ur JEE preparation and student reviews are taken into account",5,"6 months ago",0,1,,,"https://www.google.com/maps/contrib/104089285541276792179?hl=en-GB&ved=1t:31293&ictx=111","1 review","https://lh3.googleusercontent.com/a/ACg8ocJX63a1iSrFjUDTHEV7_EtIQDkf2c-zbG-SHRtp9SAQSyWXoA=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"shreya kumari","Nice place!! teachers are and people here for friendship aree very nice💗!!....The life lessons given by teachers here are rare, inspirational and like very useful!❣️a very thank u to them!!  ",5,"6 months ago",0,2,,,"https://www.google.com/maps/contrib/116658552709307418013?hl=en-GB&ved=1t:31293&ictx=111","1 review","https://lh3.googleusercontent.com/a/ACg8ocI0XXYtgHUdPcsPJn5OcrYxO0etidGtxlk7jWk4FyvzJOZs7g=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"Dhanraj","Allen kharghar has one of the best faculties.All admins are humble and are available whenever there is any need.",4,"6 months ago",0,2,,,"https://www.google.com/maps/contrib/111623283110187947027?hl=en-GB&ved=1t:31293&ictx=111","1 review","https://lh3.googleusercontent.com/a/ACg8ocLYXnCerbv9zHzJM58jE2kjGudXDIIPaIWRWTqqaU5-zGxQ3w=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"Pro the Bro","Very nooice place, if u study u get confusion and u ask doubt so u scucess if no study here then there will be no confusion and u end up passing boards with 35%.",5,"6 months ago",0,1,,,"https://www.google.com/maps/contrib/104420131404400344877?hl=en-GB&ved=1t:31293&ictx=111","1 review","https://lh3.googleusercontent.com/a-/ALV-UjXxwiZB0ZwoMWMeu-FEMiLV9Naunjqvxbvs9vxDYNTGQaxK0IAV=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"suhana wagle","The minors and practice sheets are of a high standard which pushes students towards excellence. The unique teaching style here grooms students for  scoring well in the boards and other competitive exams. The teachers are very considerate and make it their goal to show their students the right way forward.",4,"a year ago",0,4,,,"https://www.google.com/maps/contrib/104965314224720619270?hl=en-GB&ved=1t:31293&ictx=111","Local Guide·25 reviews·5 photos","https://lh3.googleusercontent.com/a/ACg8ocKGxU3-ktecrjVqJiDkY8N-gWq_Mviy7bqRdxkdALsE59N9=s40-c-rp-mo-ba3-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"Pratish Gulave","The minors and practice sheets are of a high standard which pushes students towards excellence.",5,"6 months ago",0,1,,,"https://www.google.com/maps/contrib/110221222526719277492?hl=en-GB&ved=1t:31293&ictx=111","1 review","https://lh3.googleusercontent.com/a/ACg8ocLUwjVdZJf__4mzMAqPGCOcUw9Wz7fknBEaWFxaMHDnvRsl5A=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
"Gurleen Kaur","I've been in allen for 3 years now. faculty are really good at teaching. many test are held, which further benefits the child in understanding the topic more clearly and prepares them well for school examsPositive
Communication, Quality, Professionalism …More",5,"2 years ago",0,3,,,"https://www.google.com/maps/contrib/113505295946708593103?hl=en-GB&ved=1t:31293&ictx=111","2 reviews","https://lh3.googleusercontent.com/a-/ALV-UjUxdXANu19VdoX6NP9eSC5BGwNnGu3IA36uQaIhvnAqTYfTzeJ_=s40-c-rp-mo-br100","https://www.google.com/search?hl=en-IN&gl=in&q=Plot+No.+3,+ALLEN+Career,+Ashoka+Residency,+1st+Floor,+Sector+12,+Kharghar,+Navi+Mumbai,+Maharashtra+410210&ludocid=3508384193470177759&lsig=AB86z5XwVy0M3JwpjuZHx1xuX0mB&_rs_=1#lrd=0x3be7c219c89cba9b:0x30b048d5f362a1df,1"
